  -1.073899, -1.094183, -1.106795, -1.113268, -1.113313, -1.106765, 
    -1.093326, -1.071137, -1.038034, -0.9947288, -0.9417259, -0.8802195, 
    -0.8106211, -0.7339281, -0.6508944, -0.5622287, -0.4687381, -0.371195, 
    -0.2702521, -0.1668866, -0.06183936, 0.04429327, 0.1505794, 0.2563412, 
    0.3605619, 0.4628841, 0.5623684, 0.6581457, 0.7495109, 0.8357664, 
    0.9159346, 0.9894947, 1.055469, 1.113222, 1.161951, 1.200701, 1.229246, 
    1.248145, 1.258278, 1.260549, 1.255759, 1.244727, 1.228355, 1.207439, 
    1.18286, 1.155408, 1.126004, 1.095414, 1.064551, 1.034197, 1.00525, 
    0.9785062, 0.9548544, 0.9350927, 0.9201041, 0.9107166, 0.9077709, 
    0.9121003, 0.9245776, 0.9460405, 0.9773235, 1.01924, 1.072764, 1.138618, 
    1.220441, 1.318549, 1.431731, 1.558424, 1.697539, 1.847445, 2.00705, 
    2.174726, 2.349562, 2.52974, 2.714278, 2.901509, 3.090287, 3.2792, 
    3.467028, 3.651996, 3.833167, 4.009148, 4.178266, 4.339532, 4.491251, 
    4.632348, 4.760821, 4.876106, 4.976285, 5.060062, 5.126181, 5.172911, 
    5.199051, 5.204026, 5.189555, 5.157363, 5.108403, 5.044703, 4.967159, 
    4.877719, 4.77769, 4.668403, 4.551697, 4.428653, 4.300954, 4.170362, 
    4.038064, 3.905545, 3.77454, 3.64649, 3.523007, 3.405488, 3.295563, 
    3.194731, 3.10475, 3.026985, 2.963066, 2.914788, 2.883535, 2.871048,
  -0.8625654, -0.8762521, -0.8829847, -0.8842866, -0.8801776, -0.8702844, 
    -0.854413, -0.8308637, -0.7971932, -0.753861, -0.7019308, -0.6417816, 
    -0.5742929, -0.5002724, -0.4203057, -0.3354456, -0.2459198, -0.1529655, 
    -0.05710819, 0.04101361, 0.1404342, 0.2405458, 0.340696, 0.4400383, 
    0.5379223, 0.6333781, 0.7260433, 0.8149984, 0.8994679, 0.978786, 
    1.052217, 1.118894, 1.178385, 1.229602, 1.272121, 1.304845, 1.327253, 
    1.339965, 1.34384, 1.339764, 1.328507, 1.310918, 1.287874, 1.260196, 
    1.228712, 1.194292, 1.157768, 1.11996, 1.081741, 1.043939, 1.007389, 
    0.9729426, 0.941433, 0.9137117, 0.8906144, 0.8729969, 0.8616829, 
    0.8575163, 0.8613557, 0.874038, 0.8964071, 0.9293208, 0.9735845, 
    1.030145, 1.102, 1.189344, 1.290985, 1.405649, 1.531987, 1.668875, 
    1.814877, 1.968887, 2.129591, 2.295762, 2.465999, 2.639207, 2.814052, 
    2.989181, 3.163439, 3.335651, 3.50422, 3.668037, 3.825869, 3.976148, 
    4.118093, 4.249954, 4.370752, 4.478895, 4.573175, 4.652389, 4.714862, 
    4.759656, 4.78485, 4.790967, 4.779004, 4.750594, 4.706803, 4.649137, 
    4.579034, 4.497733, 4.40667, 4.30737, 4.20103, 4.088824, 3.972709, 
    3.853623, 3.733171, 3.612657, 3.49351, 3.377442, 3.265479, 3.159311, 
    3.060378, 2.970038, 2.889781, 2.821094, 2.76562, 2.724643, 2.699894, 
    2.692661,
  -0.6442485, -0.651255, -0.6520843, -0.6483446, -0.6399416, -0.6265988, 
    -0.6083592, -0.5834912, -0.5493086, -0.5063262, -0.455076, -0.3965231, 
    -0.3312312, -0.2599084, -0.183227, -0.1019937, -0.01690753, 0.07136194, 
    0.1620834, 0.2546571, 0.3483812, 0.4424278, 0.5362117, 0.628913, 
    0.7199807, 0.808664, 0.894366, 0.9761482, 1.053559, 1.125825, 1.192191, 
    1.251986, 1.304541, 1.349197, 1.385124, 1.411654, 1.427784, 1.434141, 
    1.431572, 1.420929, 1.40302, 1.378682, 1.348774, 1.314129, 1.275636, 
    1.23399, 1.190184, 1.144942, 1.099198, 1.053695, 1.009361, 0.966958, 
    0.9273975, 0.8914558, 0.860016, 0.8338851, 0.813949, 0.8010192, 
    0.7959266, 0.7995286, 0.8126752, 0.8361731, 0.870918, 0.9177734, 
    0.9792643, 1.055345, 1.145053, 1.246988, 1.36015, 1.483171, 1.615142, 
    1.754613, 1.90071, 2.051948, 2.207419, 2.36587, 2.525998, 2.686726, 
    2.846853, 3.00534, 3.160676, 3.311847, 3.457832, 3.597016, 3.728366, 
    3.85105, 3.963184, 4.063935, 4.15214, 4.226293, 4.285281, 4.327878, 
    4.352728, 4.359877, 4.350635, 4.326088, 4.287845, 4.236712, 4.17442, 
    4.101985, 4.020421, 3.931375, 3.835989, 3.735488, 3.631356, 3.524486, 
    3.416521, 3.308663, 3.202395, 3.098609, 2.998933, 2.9047, 2.817286, 
    2.73787, 2.667993, 2.6089, 2.562107, 2.528888, 2.51077, 2.509016,
  -0.4198664, -0.4200357, -0.4149568, -0.4061374, -0.3933602, -0.3767843, 
    -0.3563067, -0.3301219, -0.2953406, -0.2525056, -0.2022495, -0.1453169, 
    -0.08213897, -0.01368867, 0.05950803, 0.1368692, 0.2174611, 0.3009637, 
    0.3865765, 0.4734632, 0.561119, 0.6489969, 0.7362069, 0.822273, 
    0.9064633, 0.9881473, 1.066474, 1.141153, 1.211212, 1.27623, 1.335341, 
    1.388036, 1.433622, 1.471403, 1.500771, 1.52084, 1.530485, 1.530312, 
    1.52114, 1.503749, 1.479069, 1.447818, 1.410917, 1.369164, 1.32343, 
    1.274481, 1.223188, 1.170364, 1.116879, 1.063544, 1.011196, 0.9606785, 
    0.9128208, 0.8684667, 0.8284426, 0.7936143, 0.7647721, 0.742803, 
    0.7285199, 0.7227704, 0.7263954, 0.7402232, 0.7651371, 0.8019543, 
    0.8526284, 0.9171284, 0.9943036, 1.083191, 1.182459, 1.291322, 1.4085, 
    1.533023, 1.66379, 1.799758, 1.939699, 2.082634, 2.227694, 2.373325, 
    2.518701, 2.662796, 2.80438, 2.94245, 3.075903, 3.203402, 3.324281, 
    3.436686, 3.540321, 3.63347, 3.715165, 3.784189, 3.839468, 3.879797, 
    3.90406, 3.912346, 3.905996, 3.885985, 3.853257, 3.809437, 3.755073, 
    3.691657, 3.620399, 3.542256, 3.458336, 3.370104, 3.278402, 3.184526, 
    3.089733, 2.995139, 2.901911, 2.811333, 2.724582, 2.642835, 2.567341, 
    2.499406, 2.440315, 2.391159, 2.353343, 2.328228, 2.317021, 2.32099,
  -0.1899928, -0.1835214, -0.1725491, -0.1586244, -0.1416711, -0.121778, 
    -0.09884387, -0.07135093, -0.03621183, 0.006242063, 0.05563407, 
    0.1109827, 0.1717298, 0.2373147, 0.3069972, 0.3802568, 0.4565694, 
    0.535027, 0.6151831, 0.6964791, 0.7781533, 0.8595276, 0.9401106, 1.01931, 
    1.096446, 1.170884, 1.242041, 1.309236, 1.371926, 1.429539, 1.481315, 
    1.526749, 1.565125, 1.595962, 1.618478, 1.631938, 1.635045, 1.6282, 
    1.61228, 1.588036, 1.556412, 1.518187, 1.474118, 1.425122, 1.371982, 
    1.315554, 1.256674, 1.196103, 1.134769, 1.073395, 1.012926, 0.9541382, 
    0.8978094, 0.8448749, 0.7960814, 0.7523267, 0.7144036, 0.6831908, 
